System,System Name,Total Instances,Has Patch,Completed Eval,Run ID
S1,gpt-4o-2024-08-06 multimodal,376,243,376,GUIRepair_pure_mm_GPT4o
S2,gpt-4o-2024-08-06 text-only,376,251,376,GUIRepair_pure_textonly_GPT4o
S3,gpt-4o-mini-2024-07-18 multimodal,376,181,376,GUIRepair_pure_mm_GPT4oMini
S4,gpt-4o-mini-2024-07-18 text-only,376,166,376,GUIRepair_pure_textonly_GPT4oMini
