Comparison,S1 Resolved,S2 Resolved,Delta,Delta (%),MM wins,TO wins,Both,Neither
S1 (GPT-4o MM) vs S2 (GPT-4o TO),110,107,3,0.7978723404255319,8,5,102,261
S3 (Mini MM) vs S4 (Mini TO),107,104,3,0.7978723404255319,5,2,102,267
