System,File Loc (median s),Element Loc (median s),Patch Gen (median s),Total (median s)
S1,14.358434557914734,15.003759622573853,25.18301260471344,54.545206785202026
S2,10.631019115447998,12.480839252471924,18.93409013748169,42.04594850540161
S3,7.37007999420166,8.585794687271118,12.89061713218689,28.846491813659668
S4,5.19474470615387,6.266080856323242,11.323997497558594,22.784823060035706
