instance_id,repo_name,domain,resolved,total_time,total_tokens,file_loc_time,file_loc_tokens,elem_loc_time,elem_loc_tokens,patch_gen_time,patch_gen_tokens
eslint__eslint-14033,eslint,code_linting,False,78.11705684661865,24207,14.796743154525757,5075,12.636902809143066,9620,18.936522960662842,9512
eslint__eslint-17618,eslint,code_linting,False,55.69481301307678,21497,13.501720905303955,5192,12.625164031982422,9845,19.025937795639038,6460
eslint__eslint-12472,eslint,code_linting,False,68.14270687103271,22457,11.000777959823608,6848,14.44527006149292,6113,21.64002776145935,9496
eslint__eslint-11407,eslint,code_linting,False,62.946905851364136,21553,8.898547887802124,6335,12.079210996627808,7512,32.85083889961243,7706
eslint__eslint-9348,eslint,code_linting,False,87.79528498649597,28212,17.44114112854004,5515,14.627347946166992,13829,34.17283892631531,8868
eslint__eslint-12652,eslint,code_linting,False,67.79808163642883,22610,9.69380497932434,6974,14.129980087280273,6152,19.472382068634033,9484
eslint__eslint-15243,eslint,code_linting,False,75.5284640789032,22394,14.623197078704834,5155,8.700042009353638,7748,33.17217421531677,9491
eslint__eslint-8850,eslint,code_linting,False,49.7820200920105,17180,5.714533805847168,3419,12.14623498916626,6633,22.80044388771057,7128
eslint__eslint-14242,eslint,code_linting,True,64.62440085411072,19144,17.786004066467285,4234,13.297282695770264,10438,20.78054404258728,4472
eslint__eslint-9436,eslint,code_linting,False,45.29568791389465,11986,7.554477691650391,4143,12.39309024810791,3895,16.71488380432129,3948
eslint__eslint-8120,eslint,code_linting,False,54.13409781455994,16710,9.034260272979736,4666,10.502225875854492,4845,26.755190134048462,7199
prettier__prettier-4153,prettier,code_formatting,False,48.76749897003174,19312,13.962221145629883,4437,11.336750745773315,5711,17.39566421508789,9164
prettier__prettier-4115,prettier,code_formatting,False,63.31511616706848,17448,21.039692878723145,3804,17.121312141418457,5827,19.966180324554443,7817
prettier__prettier-14688,prettier,code_formatting,False,56.225334882736206,13180,8.66404414176941,4130,10.393032789230347,5369,20.724420070648193,3681
prettier__prettier-9866,prettier,code_formatting,False,73.89324522018433,24390,31.28476095199585,5009,8.469077825546265,8779,23.021528005599976,10602
prettier__prettier-12177,prettier,code_formatting,False,45.37070298194885,15823,10.086365938186646,3614,6.853721857070923,7828,22.108617305755615,4381
prettier__prettier-8536,prettier,code_formatting,False,46.57575488090515,23308,8.870450973510742,4134,9.167450189590454,9324,19.68025016784668,9850
prettier__prettier-14262,prettier,code_formatting,False,50.25040793418884,19890,8.69032096862793,3801,9.239913940429688,7298,24.54967498779297,8791
